,feature,coefficient
19,decreased,3.3133865114510797
18,fell,3.0878894137297697
17,dropped,2.2421878107936903
16,lower,2.0264656585656433
15,fall,1.9437381010418446
14,drop,1.8363096185976935
13,hit,1.797257850813965
12,slipped,1.7923752635436958
11,pretax loss,1.7592398618928178
10,declined,1.725953157520791
9,cloud,1.722379713596391
8,atrium,1.719997263473666
7,decreased eur,1.577967729902831
6,operating loss,1.4838901855458835
5,due,1.4750204470885164
4,lost,1.47101845433676
3,fell eur,1.4606469055852842
2,half,1.403219034523405
1,market situation,1.3675411842370953
0,billion,1.3548555116972527
