,feature,coefficient
19,decreased,3.715347227247824
18,fell,3.0638991659984853
17,dropped,2.0010698769914086
16,decreased eur,1.7160265566075483
15,profit,1.6707699382676067
14,fall,1.6024956464058704
13,lower,1.5721720610313843
12,half,1.4912836566935361
11,drop,1.4006114022099243
10,slipped,1.3906108170556295
9,declined,1.3677104056185874
8,hit,1.3253937380948142
7,billion,1.3086343343256057
6,due,1.3016339639766694
5,decline,1.1663497175305506
4,fell eur,1.1612431089130077
3,lost,1.1546285272023558
2,market situation,1.1372038357359744
1,cloud,1.1287326241328877
0,helsinki,1.1140504732650427
